Keyword,Avg. Search Volume,Location,CPC,PPC,KD,Search Volume 07/2015,Search Volume 08/2015,Search Volume 09/2015,Search Volume 10/2015,Search Volume 11/2015,Search Volume 12/2015,Search Volume 01/2016,Search Volume 02/2016,Search Volume 03/2016,Search Volume 04/2016,Search Volume 05/2016,Search Volume 06/2016,Search Volume 07/2016,Search Volume 08/2016,Search Volume 09/2016,Search Volume 10/2016,Search Volume 11/2016,Search Volume 12/2016,Search Volume 01/2017,Search Volume 02/2017,Search Volume 03/2017,Search Volume 04/2017,Search Volume 05/2017,Search Volume 06/2017,Search Volume 07/2017,Search Volume 08/2017,Search Volume 09/2017,Search Volume 10/2017,Search Volume 11/2017,Search Volume 12/2017,Search Volume 01/2018,Search Volume 02/2018,Search Volume 03/2018,Search Volume 04/2018,Search Volume 05/2018,Search Volume 06/2018,Search Volume 07/2018,Search Volume 08/2018,Search Volume 09/2018,Search Volume 10/2018,Search Volume 11/2018,Search Volume 12/2018,Search Volume 01/2019,Search Volume 02/2019,Search Volume 03/2019,Search Volume 04/2019,Search Volume 05/2019,Search Volume 06/2019,Search Volume 07/2019
cây x??ng r?ng,6600,Vietnam,0.02,100,18,1000,1300,1300,1600,1600,1300,1600,1300,1900,1900,2400,1600,1900,2400,2400,2900,2400,2400,2400,2900,2900,2400,2900,2400,2900,2900,3600,4400,5400,5400,6600,4400,6600,5400,5400,5400,5400,6600,5400,6600,6600,6600,6600,5400,8100,6600,8100,6600,0
cây sen ?á,5400,Vietnam,0.02,100,14,880,1300,1000,1000,1000,1000,1300,1300,1900,12100,4400,5400,4400,8100,3600,4400,4400,4400,6600,6600,6600,5400,3600,3600,4400,5400,5400,6600,6600,5400,6600,5400,6600,5400,4400,4400,3600,4400,4400,6600,6600,6600,6600,4400,5400,4400,3600,3600,0
hoa x??ng r?ng,5400,Vietnam,0.01,96,22,0,0,0,0,1600,1300,1600,1000,1900,1900,1900,1900,1900,2400,2400,2400,1900,1600,1600,1900,2400,2400,2400,2400,2400,2400,2400,3600,2900,2900,2900,2400,4400,4400,5400,5400,5400,5400,5400,5400,5400,5400,4400,4400,5400,5400,5400,4400,0
gai c?t s?ng,4400,Vietnam,0.27,71,21,0,0,0,0,1300,880,880,590,1300,1600,1600,880,720,1000,1000,1000,1000,880,880,1300,1300,1000,1000,1300,1600,1300,1300,1300,1300,1300,1300,1000,1900,1900,3600,4400,5400,5400,4400,5400,4400,4400,3600,2900,4400,3600,1900,2400,0
x??ng r?ng c?nh,1000,Vietnam,0.02,100,25,0,0,0,0,0,0,480,390,590,880,880,720,1000,1000,1000,1000,590,590,720,720,880,880,1300,720,480,480,880,880,720,720,880,880,1600,1300,1000,880,1000,1000,1000,1300,1600,1000,1000,880,1000,1000,720,720,0
b?nh gai c?t s?ng,880,Vietnam,0.35,73,20,0,0,0,0,590,390,320,260,590,720,590,720,720,720,590,720,590,480,390,590,590,590,720,720,880,1300,1600,1300,1000,880,720,720,1300,1000,1300,1000,1300,1300,1000,1300,1000,880,880,590,1000,720,390,390,0
các lo?i x??ng r?ng,880,Vietnam,0.03,98,,0,0,0,0,0,0,0,0,480,480,590,480,590,590,590,480,590,480,480,590,590,480,480,390,390,390,390,480,480,390,480,590,880,880,880,880,880,1000,880,1000,1000,1000,1000,880,1000,880,880,720,0
cay xuong rong,880,Vietnam,0.02,100,48,0,0,0,0,0,0,1900,1600,1900,2400,2400,1900,1900,2900,2400,2900,2900,2400,2400,2400,2900,2400,2400,1900,2400,2400,2400,2400,1900,1000,1300,880,1000,1000,880,880,880,880,880,1000,1300,1300,1000,880,1000,880,590,590,0
xuong rong,720,Vietnam,0.02,98,21,0,0,0,0,0,0,880,720,880,880,880,880,880,1000,880,1000,1000,880,880,880,1000,880,880,720,880,720,880,880,880,880,880,720,1000,1000,880,590,720,720,880,720,880,880,720,590,720,720,590,590,0
hoa x??ng r?ng ??p,590,Vietnam,0.01,100,,0,0,0,0,0,0,0,0,720,480,590,720,720,590,590,590,880,720,720,720,1300,880,480,480,390,390,880,880,880,720,880,590,1000,720,720,590,720,590,320,590,720,390,480,390,590,480,590,590,0
cay sen da,590,Vietnam,0.01,100,26,260,480,320,320,320,320,320,390,480,4400,1000,1600,1000,2900,1000,1300,1000,1000,1600,1600,1300,1300,1000,720,1000,1300,1000,1300,1300,1000,1000,880,1000,880,720,590,590,720,720,880,880,720,880,590,720,480,320,320,0
x??ng r?ng ?á,590,Vietnam,0.03,100,33,110,260,170,170,170,170,210,210,260,320,320,260,390,480,390,480,590,590,590,720,720,480,320,320,320,320,390,720,720,720,720,590,880,720,720,480,590,590,590,720,720,720,720,480,720,590,480,320,0
cây x??ng r?ng c?nh,590,Vietnam,0.02,100,,110,210,260,390,260,320,320,210,260,590,590,480,590,880,590,720,720,720,720,880,880,590,480,390,590,590,590,720,720,720,590,590,590,480,480,590,720,720,880,1000,720,480,480,590,720,480,480,480,0
hoa xuong rong,590,Vietnam,0,90,21,0,0,0,0,0,0,4400,3600,4400,4400,4400,4400,4400,6600,5400,4400,3600,3600,2900,3600,3600,2900,3600,2900,2900,2900,2900,5400,3600,2900,2400,1900,2900,1600,1300,880,720,720,720,720,590,590,480,390,590,480,480,480,0
ch?u hoa ??p,578,Vietnam,0.03,100,22,0,0,0,0,262,262,444,262,391,320,262,213,213,262,320,320,320,320,444,320,320,262,262,213,262,262,320,391,391,391,444,444,444,578,578,391,444,578,578,711,844,711,844,444,578,391,444,391,0
ch?a gai c?t s?ng,480,Vietnam,0.59,100,31,0,0,0,0,210,260,260,260,390,590,590,480,590,590,480,480,480,480,320,480,480,480,590,480,590,590,480,390,390,390,390,390,720,390,480,480,590,590,590,590,480,480,320,260,480,480,480,390,0
cách tr?ng x??ng r?ng,480,Vietnam,0.01,97,,0,0,0,0,0,320,320,390,480,390,390,480,390,480,390,390,390,390,390,390,390,390,320,390,390,320,390,390,480,390,480,480,590,480,480,480,480,390,480,480,590,480,480,480,590,480,390,390,0
gai cot song,480,Vietnam,0.32,86,30,0,0,0,0,2400,1900,1900,1600,2400,2400,2400,2400,2400,2400,2400,2400,1900,1600,1300,1600,1900,1900,1900,1900,1900,1900,1900,1900,1900,1600,1300,1000,1600,1000,480,590,720,590,480,590,390,390,390,320,480,390,480,480,0
tr? gai c?t s?ng,390,Vietnam,0.68,100,29,0,0,0,0,320,390,320,320,390,390,480,590,480,480,480,590,480,390,320,480,480,390,590,480,480,480,480,480,390,390,390,390,590,390,480,390,590,480,480,480,480,480,260,210,480,480,390,390,0
s??ng r?ng,320,Vietnam,0.02,96,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,8,10,8,8,7,10,8,8,10,13,13,19,13,19,15,13,13,320,320,320,320,320,320,320,261,320,320,320,261,0
cách tr?ng cây x??ng r?ng,260,Vietnam,0.01,98,,0,0,0,0,0,210,210,210,210,210,260,210,210,210,260,210,210,210,260,260,260,210,260,210,260,210,210,210,210,260,260,210,320,260,210,170,210,210,210,260,260,260,260,320,260,210,260,210,0
tr?ng x??ng r?ng,170,Vietnam,0.03,99,,0,0,0,0,0,0,110,110,140,140,170,110,110,140,170,170,140,140,140,170,140,170,140,140,140,110,140,140,140,140,170,140,170,170,170,170,140,170,170,210,170,170,140,170,210,170,170,170,0
h?t gi?ng x??ng r?ng,170,Vietnam,0.04,100,,140,210,140,170,170,140,170,170,210,170,170,170,260,170,170,210,140,140,140,170,260,170,170,140,170,170,110,110,110,110,110,110,170,210,170,110,170,110,170,170,170,140,170,170,260,170,140,170,0
cây x??ng r?ng trong phong th?y,170,Vietnam,0.02,91,39,0,0,0,0,170,210,210,260,260,320,320,320,260,260,210,210,260,260,320,320,320,210,260,210,210,210,140,210,170,170,210,110,210,260,170,140,170,260,170,170,260,260,170,70,170,140,140,140,0
cây x??ng r?ng ch?a b?nh ?au l?ng,170,Vietnam,0.19,91,,0,0,0,0,0,0,0,0,90,70,90,40,70,70,90,140,110,110,70,110,90,90,90,140,210,170,70,50,90,90,70,50,110,110,110,110,90,320,260,210,260,170,140,110,110,90,90,90,0
suong rong,170,Vietnam,0.01,99,,0,0,0,0,0,0,210,170,260,170,140,170,170,170,170,170,170,170,170,170,170,140,140,110,140,170,140,170,170,170,210,170,260,210,170,210,170,170,170,210,210,170,170,140,210,170,140,140,0
??t tr?ng x??ng r?ng,140,Vietnam,0.02,100,,0,0,0,0,0,0,0,0,90,90,110,110,140,90,110,110,140,140,110,110,170,140,140,110,170,110,140,140,140,70,110,110,170,140,170,140,140,110,110,170,140,170,110,140,170,140,170,140,0
mua cây x??ng r?ng,140,Vietnam,0.04,100,,0,0,0,0,0,0,50,40,70,70,50,70,70,70,70,90,50,90,90,110,90,90,90,70,110,140,90,90,140,110,90,110,170,110,110,90,140,110,140,170,170,110,110,110,140,90,110,140,0
x??ng r?ng phong th?y,140,Vietnam,0.02,98,,0,0,0,0,0,0,0,0,140,140,90,140,110,140,140,140,170,110,170,210,210,140,210,170,210,170,170,260,210,260,320,210,170,170,210,140,170,210,170,170,210,140,170,50,110,110,170,110,0
mua x??ng r?ng,140,Vietnam,0.03,100,,70,110,70,90,70,70,70,90,110,90,110,90,110,110,170,170,110,90,110,140,140,140,110,90,140,140,140,140,110,110,170,140,210,170,170,140,170,140,140,260,140,140,140,140,170,110,90,140,0
tên các lo?i x??ng r?ng,110,Vietnam,0.06,93,,0,0,0,0,0,0,0,0,140,110,170,140,170,170,140,140,140,140,140,170,210,170,170,140,140,110,110,140,110,90,110,110,140,110,140,140,140,90,140,90,140,110,140,90,140,140,110,90,0
các lo?i x??ng r?ng có hoa,110,Vietnam,0.01,99,28,0,0,0,0,0,0,0,0,140,140,140,110,110,140,110,210,140,170,140,210,210,170,170,210,110,110,110,110,140,170,170,170,210,170,170,110,110,70,70,110,140,90,70,50,170,170,140,90,0
các lo?i x??ng r?ng c?nh,110,Vietnam,0.01,100,,0,0,0,0,0,0,0,0,90,110,170,140,110,90,90,110,140,90,30,50,70,70,70,90,90,170,90,90,140,90,110,140,170,170,110,140,110,170,170,210,170,70,50,70,70,70,70,70,0
cay suong rong,110,Vietnam,0.02,100,,0,0,0,0,0,0,390,320,320,140,110,110,170,140,140,110,110,110,140,140,110,110,140,90,110,110,110,110,140,110,110,90,110,110,110,90,90,110,90,110,110,140,140,70,140,70,90,70,0
hoa suong rong,110,Vietnam,0.01,88,,0,0,0,0,0,390,720,720,720,320,390,590,720,480,390,260,210,210,260,210,260,260,210,210,210,170,170,320,260,170,210,110,210,210,170,140,170,170,140,170,140,140,110,90,140,90,90,70,0
tr? gai c?t s?ng b?ng x??ng r?ng,90,Vietnam,0.23,86,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,70,40,70,90,70,90,90,110,110,90,70,90,70,90,40,70,90,50,70,70,170,140,170,90,90,50,70,90,70,110,50,0
cay xuong rong phong thuy,90,Vietnam,0.01,100,,210,260,140,170,140,210,210,110,140,210,320,390,210,170,140,320,210,110,110,110,140,170,210,260,110,110,90,170,210,260,140,50,90,140,210,170,140,90,90,170,70,210,140,40,50,70,50,20,0
benh gai cot song,90,Vietnam,0.44,99,33,0,0,0,0,1300,880,880,720,1300,1000,880,1000,1000,1000,880,880,880,720,590,720,720,720,720,720,720,390,260,260,170,170,170,90,170,140,140,110,170,140,90,110,110,70,90,50,90,90,90,70,0
giá x??ng r?ng,70,Vietnam,0.02,100,,0,0,0,0,0,0,110,70,90,70,70,50,90,90,90,140,140,90,170,140,170,140,140,110,140,110,170,170,140,140,140,70,170,140,110,90,90,90,90,70,90,70,40,30,70,30,20,30,0
x??ng r?ng tr? gai c?t s?ng,70,Vietnam,0.33,92,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,30,40,30,20,30,40,40,50,40,70,50,30,30,40,40,30,30,50,70,140,110,90,90,140,70,50,50,50,50,40,0
xuong rong kieng,70,Vietnam,0.01,97,,0,0,0,0,0,0,0,0,210,170,390,390,140,70,50,90,50,40,70,50,70,50,40,30,50,30,50,70,70,50,70,70,70,50,70,90,50,70,90,90,90,110,90,70,70,30,20,40,0
thuoc tri gai cot song,50,Vietnam,0.34,100,26,0,0,0,0,390,320,260,210,320,320,260,320,480,390,390,480,320,320,170,320,390,320,320,320,320,260,210,390,260,140,170,110,70,50,70,110,70,70,40,50,40,50,50,40,50,50,30,40,0
xuong rong dep,40,Vietnam,,100,,0,0,0,0,0,0,320,390,480,320,260,320,390,480,480,390,480,390,390,320,390,110,140,320,320,320,170,90,110,90,90,50,90,70,90,20,30,30,50,30,50,50,50,30,40,50,30,30,0
x??ng r?ng ch?a gai c?t s?ng,30,Vietnam,0.23,85,,0,0,0,0,0,0,0,0,20,20,20,30,30,20,20,20,40,10,10,20,20,30,20,20,50,20,40,40,10,10,20,20,30,30,30,40,20,40,40,50,20,50,40,30,30,20,20,10,0
xuong rong canh,30,Vietnam,0.01,100,,0,0,0,0,0,0,0,0,50,140,110,90,140,140,70,70,70,90,140,170,140,110,90,70,90,70,90,90,70,70,70,70,70,50,70,50,30,30,20,40,20,40,50,30,40,30,20,20,0
cay xuong rong canh,20,Vietnam,0,100,,0,0,0,0,0,0,0,0,20,110,70,70,50,140,70,90,70,90,70,90,70,70,40,40,40,70,70,70,50,30,50,30,50,40,30,10,20,30,20,40,40,20,20,20,10,10,10,10,0
phong thuy cay xuong rong,20,Vietnam,,100,,0,0,0,0,40,50,50,40,50,50,70,110,70,90,70,110,50,50,70,50,50,50,50,40,70,70,90,40,50,40,30,20,30,20,20,20,20,30,20,20,30,20,20,20,30,10,10,10,0
cay xuong rong kieng,20,Vietnam,0.01,100,,0,0,0,0,0,0,0,0,390,390,90,140,140,260,210,90,110,50,70,90,110,140,210,90,90,140,210,90,50,70,50,20,110,50,70,20,30,20,10,20,10,10,10,10,10,10,10,30,0
xuong rong tri gai cot song,10,Vietnam,0.27,100,,0,0,0,0,0,30,30,30,50,30,30,40,20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,0
cay xuong rong chua benh,10,Vietnam,,19,,0,0,0,0,0,0,0,0,170,170,70,90,210,320,210,110,70,40,20,40,20,10,30,40,50,70,70,50,40,20,40,20,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0
